Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_0805_2012Metric,106.172,-57.912,90.0,top
C2,100n,C_0805_2012Metric,123.952,-57.912,90.0,top
C3,100n,C_0805_2012Metric,141.732,-57.912,90.0,top
C4,100n,C_0805_2012Metric,159.512,-57.912,90.0,top
C5,22u,CP_Radial_D6.3mm_P2.50mm,92.71,-42.799,90.0,top
C6,22u,C_1206_3216Metric,87.376,-41.783,90.0,top
C7,22u,CP_Radial_D6.3mm_P2.50mm,79.5,-50.817621,-90.0,top
C8,22u,C_1206_3216Metric,72.39,-52.025,-90.0,top
J1,Conn_01x02,TerminalBlock_Phoenix_MKDS-3-2-5.08_1x02_P5.08mm_Horizontal,62.225,-65.07,0.0,top
J2,Conn_01x02,TerminalBlock_Phoenix_MKDS-3-2-5.08_1x02_P5.08mm_Horizontal,73.655,-65.07,0.0,top
J3,Conn_01x02,TerminalBlock_Phoenix_MKDS-3-2-5.08_1x02_P5.08mm_Horizontal,68.0,-42.0,180.0,top
J4,Conn_01x02,TerminalBlock_Phoenix_MKDS-3-2-5.08_1x02_P5.08mm_Horizontal,79.5,-42.0,180.0,top
J5,Conn_01x02,BarrelJack_CUI_PJ-063AH_Horizontal,56.5,-45.72,-90.0,top
J6,Conn_01x02,BarrelJack_CUI_PJ-063AH_Horizontal,56.5,-58.42,-90.0,top
P1,CONN_02X20,Pin_Header_Straight_2x20,107.95,-43.18,90.0,top
P2,+5V,Pin_Header_Straight_1x01,87.376,-46.99,90.0,top
P3,RxD,Pin_Header_Straight_1x01,119.38,-45.847,180.0,top
P4,GND,Pin_Header_Straight_1x01,87.376,-50.8,90.0,top
P5,GND,Pin_Header_Straight_1x01,110.744,-45.847,180.0,top
P6,CONN_01X02,Pin_Header_Straight_1x02,86.36,-54.102,90.0,top
P7,CONN_02X01,Pin_Header_Straight_1x02,86.36,-56.642,90.0,top
P8,CONN_01X02,Pin_Header_Straight_1x02,86.36,-59.182,90.0,top
P20,CONN_01X01,1pin,103.08,-41.91,0.0,top
P21,CONN_01X01,1pin,161.08,-41.91,0.0,top
R1,10k,R_0805_2012Metric,105.664,-46.736,0.0,top
U1,74HCT245,SOIC-20W_7.5x12.8mm_P1.27mm,97.79,-54.356,-90.0,top
U2,74HCT245,SOIC-20W_7.5x12.8mm_P1.27mm,115.57,-54.356,-90.0,top
U3,74HCT245,SOIC-20W_7.5x12.8mm_P1.27mm,133.35,-54.356,-90.0,top
U4,74HCT245,SOIC-20W_7.5x12.8mm_P1.27mm,151.13,-54.356,-90.0,top
